feature_1,feature_2,feature_3,feature_4,feature_5,target
0.37173493129772894,0.18260940964209788,0.2622686215883219,0.6727867675062276,0.5732729842007712,0.36425733254577913
0.950754624124717,0.5407399493696015,0.24750940273661587,0.7969011610796585,0.8072431984474697,0.6914064476187955
0.7309540827978159,0.8730491206823674,0.9082326829211816,0.25008852690674077,0.761868283791068,0.6541186297539444
0.5969601320493095,0.7317907483938341,0.2500824404713464,0.624905409898795,0.15422101485078235,0.7220378257961468
0.1521342583877113,0.8064109050548897,0.2725351556891112,0.5717190177699414,0.14955994646410825,0.6058618572031009
0.15211001916144262,0.6580687505650813,0.7610539286832767,0.8330897921076097,0.26875677174131146,0.41808562140903444
0.053715566241432776,0.691689861159481,0.4507156260567881,0.9064268302774051,0.3618695512994781,0.46533898697577336
0.8657989616537892,0.8492082328113864,0.7784042339060933,0.011515998651985326,0.40935874488109,0.7023891146295271
0.599428791451118,0.24739095349718063,0.06549801448850899,0.6741051368769766,0.6812205868370542,0.5309659272391221
0.7069145802599271,0.48806355630402765,0.48863003938292715,0.051238549797517255,0.056779245507247784,0.5570884452117024
0.016031254482150707,0.21882370126567985,0.03367574153775825,0.5488065948479094,0.034721195880759934,0.36751447629120837
0.9700449693795675,0.9882094245355457,0.06277910384694231,0.2872941228647453,0.39277589546739655,1.0
0.8318988597228956,0.9444342117723801,0.9084159572581376,0.30645899205102306,0.6987270000444464,0.7170203047607131
0.2087328740143215,0.03634683065659211,0.13953943643949304,0.35269155242023004,0.1938468527196656,0.2725041132521909
0.1780680327893048,0.705039257440524,0.5335779990341554,0.6213198306670228,0.6429405218055115,0.49417659769579436
0.1796553761962631,0.9255513489353626,0.4119865393342314,0.33376227406275677,0.26039145789664314,0.6255663051701283
0.30108988092650085,0.17803442021043064,0.3480942891877951,0.7328486329234266,0.8880813965541628,0.34662105307541197
0.5226931053427235,0.5668836974224525,0.9017973496940529,0.4043169998997892,0.8977071916207356,0.4545447849272003
0.4294233320685694,0.9157540549320359,0.02185965168759209,0.06777406874934797,0.29793617612351464,0.7843559945292823
0.2880125113977431,0.030845066202869247,0.6652354352907341,0.7839654328565354,0.2304888562222348,0.20989143271457678
