Age,Gender,Speed_of_Impact,Helmet_Used,Seatbelt_Used,Survived
0.7450980392156864,Female,0.07070707070707069,No,No,1.0
1.0,Female,0.26262626262626254,No,Yes,1.0
0.5490196078431373,Male,0.26262626262626254,Yes,Yes,0.0
0.2745098039215686,Male,0.9797979797979798,No,Yes,0.0
0.823529411764706,Female,0.20202020202020193,Yes,Yes,0.0
0.1372549019607843,Male,0.2929292929292928,Yes,Yes,1.0
0.3921568627450981,Male,0.9696969696969694,Yes,Yes,1.0
0.7450980392156864,Male,0.27272727272727265,Yes,Yes,1.0
0.3529411764705882,Female,0.6363636363636364,Yes,No,1.0
0.4313725490196078,Female,0.9696969696969694,Yes,No,1.0
0.1960784313725491,Female,0.6868686868686867,No,Yes,1.0
0.1960784313725491,Male,0.6060606060606061,Yes,Yes,1.0
0.4509803921568628,Male,0.4747474747474746,Yes,No,1.0
0.6862745098039217,Female,0.18181818181818177,Yes,Yes,1.0
0.7647058823529412,Female,0.030303030303030293,No,Yes,0.0
0.4509803921568628,Female,0.5095113572270932,No,No,0.0
0.0392156862745098,Female,0.6363636363636364,Yes,Yes,0.0
0.4117647058823529,Male,0.4848484848484848,No,No,0.0
0.0196078431372549,Female,0.16161616161616157,Yes,Yes,1.0
0.4509803921568628,Male,0.5095113572270932,Yes,No,1.0
0.8431372549019608,Female,0.919191919191919,No,No,0.0
0.5686274509803921,Male,0.2929292929292928,Yes,No,1.0
0.7254901960784313,Female,0.9292929292929294,No,Yes,0.0
0.0196078431372549,Female,0.45454545454545436,No,No,1.0
0.3921568627450981,Female,0.05050505050505048,Yes,Yes,0.0
0.6274509803921569,Female,0.9898989898989897,Yes,Yes,1.0
0.2156862745098039,Male,0.36363636363636365,No,Yes,1.0
0.4117647058823529,Female,0.23232323232323224,Yes,Yes,0.0
0.8431372549019608,Male,0.9292929292929294,Yes,No,1.0
0.4705882352941176,Male,0.5095113572270932,Yes,No,0.0
0.9411764705882354,,0.5252525252525252,No,Yes,0.0
0.5098039215686275,Male,0.9494949494949494,No,Yes,0.0
0.8039215686274509,Female,0.9898989898989897,Yes,No,0.0
0.5294117647058824,Male,0.5959595959595959,No,Yes,1.0
0.2941176470588236,Male,0.9696969696969694,No,No,1.0
0.2745098039215686,Male,0.6262626262626262,No,Yes,1.0
0.9019607843137256,Female,0.8484848484848484,No,Yes,0.0
0.9803921568627452,Female,0.31313131313131315,No,No,1.0
0.8431372549019608,Female,0.8686868686868685,Yes,Yes,0.0
1.0,Female,0.32323232323232315,Yes,No,1.0
0.0392156862745098,Male,0.6666666666666666,Yes,Yes,1.0
0.7058823529411765,Male,0.17171717171717168,No,Yes,1.0
0.9803921568627452,Female,0.24242424242424235,No,Yes,0.0
0.1176470588235294,Male,0.9494949494949494,Yes,No,1.0
0.3921568627450981,Male,0.5353535353535354,No,Yes,1.0
0.1568627450980392,Male,0.5757575757575756,Yes,Yes,0.0
0.7450980392156864,Female,0.6666666666666666,Yes,Yes,1.0
0.3333333333333333,Female,0.45454545454545436,Yes,Yes,0.0
0.0588235294117647,Male,0.23232323232323224,No,No,1.0
0.4705882352941176,Female,0.31313131313131315,No,No,0.0
0.2549019607843137,Female,0.4646464646464646,Yes,Yes,0.0
0.9607843137254902,Female,0.8585858585858586,Yes,No,1.0
0.1568627450980392,Female,0.22222222222222215,Yes,Yes,0.0
0.4901960784313726,Female,0.6565656565656565,Yes,Yes,0.0
0.0196078431372549,Male,0.26262626262626254,No,Yes,0.0
0.3725490196078431,Female,0.010101010101009998,No,No,0.0
0.5294117647058824,Male,0.8989898989898988,Yes,No,0.0
0.9019607843137256,Male,0.16161616161616157,Yes,No,0.0
0.1176470588235294,Female,0.32323232323232315,No,No,1.0
0.8431372549019608,Male,0.08080808080808079,No,No,0.0
0.1372549019607843,Male,0.4242424242424241,Yes,No,0.0
0.9019607843137256,Male,0.4747474747474746,Yes,No,1.0
0.6666666666666666,Female,0.3838383838383837,Yes,No,1.0
0.2549019607843137,Female,0.9292929292929294,No,No,1.0
0.3137254901960784,Male,0.4141414141414141,No,Yes,1.0
0.6862745098039217,Female,0.25252525252525243,No,No,1.0
0.9607843137254902,Female,0.9898989898989897,Yes,No,1.0
0.7647058823529412,Female,0.49494949494949486,Yes,No,1.0
0.0588235294117647,Female,0.24242424242424235,No,No,0.0
0.0196078431372549,Male,0.23232323232323224,No,No,0.0
0.0980392156862745,Male,0.12121212121212117,Yes,No,1.0
0.8039215686274509,Female,0.5959595959595959,No,No,0.0
0.0588235294117647,Female,0.06060606060606059,No,No,0.0
0.5490196078431373,Male,0.5656565656565656,Yes,No,0.0
0.3333333333333333,Male,0.3535353535353534,No,No,1.0
0.4901960784313726,Female,0.44444444444444436,Yes,No,1.0
0.8431372549019608,Male,0.19191919191919185,Yes,Yes,0.0
0.6470588235294118,Female,0.6464646464646463,Yes,Yes,1.0
0.1764705882352941,Female,0.07070707070707069,Yes,No,0.0
0.6862745098039217,Male,0.15151515151515146,Yes,No,0.0
0.2549019607843137,Male,0.13131313131313127,Yes,Yes,0.0
0.5882352941176471,Female,0.7575757575757573,Yes,No,0.0
0.9215686274509804,Female,0.8686868686868685,No,Yes,1.0
0.2745098039215686,Male,0.14141414141414138,Yes,Yes,1.0
0.1372549019607843,Female,0.919191919191919,Yes,Yes,1.0
0.2549019607843137,Male,0.9797979797979798,No,Yes,0.0
0.4313725490196078,Female,0.6565656565656565,No,Yes,1.0
0.7647058823529412,Male,0.31313131313131315,No,No,0.0
0.3921568627450981,Male,0.8686868686868685,Yes,Yes,1.0
0.2941176470588236,Male,0.6262626262626262,No,No,0.0
0.8627450980392156,Female,0.8585858585858586,Yes,No,0.0
0.3333333333333333,Female,0.5050505050505051,Yes,Yes,0.0
0.9019607843137256,Male,0.24242424242424235,Yes,Yes,1.0
0.4509803921568628,Female,0.5757575757575756,Yes,No,1.0
0.4901960784313726,Male,0.6262626262626262,No,Yes,1.0
0.4705882352941176,Male,0.616161616161616,No,Yes,1.0
0.8627450980392156,Female,0.21212121212121204,Yes,No,0.0
0.7843137254901961,Female,0.5757575757575756,Yes,No,1.0
0.5490196078431373,Male,0.5757575757575756,Yes,Yes,1.0
0.2745098039215686,Female,0.8585858585858586,No,No,0.0
0.8627450980392156,Female,0.4848484848484848,Yes,Yes,0.0
0.0,Male,0.515151515151515,Yes,Yes,0.0
0.4705882352941176,Male,0.4141414141414141,No,Yes,1.0
0.1176470588235294,Female,0.6969696969696969,No,No,0.0
0.1568627450980392,Male,0.14141414141414138,Yes,No,0.0
0.4509803921568628,Male,0.5353535353535354,No,No,0.0
0.0,Female,0.5959595959595959,No,No,1.0
0.8431372549019608,Male,0.9696969696969694,Yes,No,0.0
0.1372549019607843,Male,0.07070707070707069,No,Yes,1.0
0.4509803921568628,Female,0.5252525252525252,Yes,Yes,1.0
0.1960784313725491,Female,0.5959595959595959,No,Yes,0.0
0.9803921568627452,Male,0.040404040404040296,Yes,Yes,0.0
0.3137254901960784,Male,0.6767676767676768,Yes,No,1.0
0.1372549019607843,Female,0.05050505050505048,Yes,Yes,0.0
0.6666666666666666,Female,0.9595959595959596,No,No,0.0
0.6666666666666666,Female,0.9393939393939392,Yes,Yes,1.0
0.6274509803921569,Female,0.4646464646464646,No,No,1.0
0.0784313725490196,Male,0.9898989898989897,Yes,No,0.0
0.8039215686274509,Female,0.5454545454545453,Yes,Yes,1.0
0.7450980392156864,Female,0.39393939393939387,No,Yes,0.0
0.7843137254901961,Male,0.515151515151515,Yes,Yes,0.0
0.5294117647058824,Female,0.15151515151515146,Yes,Yes,0.0
0.1176470588235294,Male,0.12121212121212117,No,No,1.0
0.1568627450980392,Female,0.2929292929292928,Yes,Yes,0.0
0.1372549019607843,Female,0.18181818181818177,Yes,Yes,0.0
0.2156862745098039,Female,0.16161616161616157,Yes,No,0.0
0.6470588235294118,Male,0.6262626262626262,Yes,Yes,1.0
0.6274509803921569,Male,0.18181818181818177,No,Yes,1.0
0.9215686274509804,Female,0.919191919191919,No,Yes,1.0
0.4313725490196078,Male,0.5757575757575756,Yes,Yes,1.0
0.4509803921568628,Male,0.5454545454545453,No,Yes,1.0
0.7058823529411765,Male,0.8989898989898988,Yes,No,0.0
0.6666666666666666,Male,0.8989898989898988,No,Yes,1.0
0.8431372549019608,Male,0.616161616161616,Yes,Yes,1.0
0.7647058823529412,Male,0.22222222222222215,Yes,Yes,1.0
0.4117647058823529,Female,0.08080808080808079,Yes,Yes,0.0
0.5098039215686275,Female,0.11111111111111108,Yes,Yes,1.0
0.6666666666666666,Male,0.0,Yes,No,1.0
0.0,Female,0.5757575757575756,Yes,Yes,0.0
0.6666666666666666,Female,0.0,No,No,1.0
0.7058823529411765,Female,0.33333333333333326,Yes,No,0.0
0.9019607843137256,Female,0.9595959595959596,No,Yes,0.0
0.2549019607843137,Male,0.4747474747474746,Yes,Yes,0.0
0.0392156862745098,Female,0.8888888888888888,No,Yes,0.0
0.0,Female,0.0,No,Yes,0.0
0.0784313725490196,Male,0.15151515151515146,No,No,1.0
0.4901960784313726,Male,0.6060606060606061,Yes,Yes,0.0
0.2549019607843137,Female,0.6363636363636364,Yes,Yes,0.0
0.7450980392156864,Female,0.6262626262626262,No,Yes,1.0
0.5098039215686275,Female,0.6868686868686867,Yes,Yes,0.0
0.1568627450980392,Female,0.21212121212121204,No,Yes,1.0
0.2745098039215686,Female,0.9292929292929294,Yes,Yes,1.0
0.2745098039215686,Female,0.6666666666666666,No,No,1.0
0.4901960784313726,Male,0.7575757575757573,No,No,0.0
0.8039215686274509,Female,0.25252525252525243,Yes,Yes,0.0
0.2352941176470588,Female,0.15151515151515146,No,Yes,0.0
0.9803921568627452,Male,0.5050505050505051,Yes,Yes,1.0
0.607843137254902,Male,0.8585858585858586,No,No,0.0
0.7450980392156864,Male,0.5656565656565656,No,Yes,0.0
0.9411764705882354,Male,0.28282828282828276,Yes,No,0.0
1.0,Female,0.7777777777777777,Yes,Yes,1.0
0.607843137254902,Female,0.919191919191919,Yes,Yes,1.0
0.0588235294117647,Female,0.6868686868686867,No,Yes,0.0
0.5686274509803921,Female,0.4646464646464646,Yes,Yes,0.0
0.7058823529411765,Female,0.9393939393939392,No,No,0.0
0.4313725490196078,Female,0.616161616161616,No,No,0.0
0.7450980392156864,Male,0.6868686868686867,Yes,Yes,1.0
0.8627450980392156,Female,0.7575757575757573,Yes,Yes,1.0
0.2745098039215686,Male,0.15151515151515146,No,No,1.0
0.823529411764706,Male,0.8989898989898988,No,No,1.0
0.5490196078431373,Female,0.8989898989898988,Yes,No,0.0
0.6862745098039217,Male,0.4747474747474746,Yes,No,0.0
0.2352941176470588,Female,0.8484848484848484,Yes,Yes,0.0
0.607843137254902,Male,0.3838383838383837,Yes,No,1.0
0.1176470588235294,Female,1.0,Yes,Yes,0.0
0.9803921568627452,Male,0.32323232323232315,No,No,1.0
0.4117647058823529,Female,0.9393939393939392,No,No,1.0
0.5294117647058824,Female,0.22222222222222215,No,No,0.0
0.0196078431372549,Female,0.09090909090909079,No,No,0.0
0.8039215686274509,Female,0.6868686868686867,Yes,No,0.0
0.8627450980392156,Female,1.0,Yes,Yes,1.0
0.0980392156862745,Male,0.33333333333333326,Yes,Yes,0.0
0.5294117647058824,Male,0.515151515151515,No,No,1.0
0.5294117647058824,Male,0.9494949494949494,No,No,0.0
0.8431372549019608,Female,0.09090909090909079,Yes,Yes,1.0
0.8431372549019608,Male,0.18181818181818177,Yes,No,1.0
0.3725490196078431,Female,0.5757575757575756,No,No,0.0
0.5686274509803921,Female,0.9595959595959596,No,Yes,1.0
0.1960784313725491,Male,0.0,Yes,No,1.0
0.5294117647058824,Male,0.6868686868686867,Yes,No,0.0
0.4705882352941176,Female,0.030303030303030293,No,Yes,1.0
0.7450980392156864,Male,0.15151515151515146,Yes,Yes,0.0
0.6274509803921569,Female,0.23232323232323224,Yes,Yes,1.0
0.0,Female,0.7979797979797978,Yes,No,0.0
0.5098039215686275,Female,0.010101010101009998,No,Yes,0.0
1.0,Female,0.919191919191919,No,Yes,1.0
0.2352941176470588,Female,0.31313131313131315,No,Yes,1.0
0.7843137254901961,Male,0.909090909090909,No,Yes,1.0
0.0392156862745098,Male,0.8383838383838382,No,Yes,1.0
0.7450980392156864,Female,0.23232323232323224,No,Yes,1.0
